dataset ,ratio_evaluation ,evaluation_method         ,feature_selection ,learner             ,accuracy           ,f1_score             ,precision           ,recall               ,top 1                        ,top 2                                  ,top 3                                  ,top 4                                  ,top 5                                    ,top 6                                    ,top 7                                    ,top 8                                    ,top 9                                    ,top 10
turma   ,            1.0  ,"random (n=10, test=33%)" ,chi2 (5)          ,logistic_regression ,0.8506779661016949 ,0.5224932249322493   ,0.5314222712238148  ,0.5138592750533049   ,grades_below_5               ,grades_average                         ,grades_between_0_2_5                   ,grades_between_7_5_10                  ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,"random (n=10, test=33%)" ,chi2 (5)          ,neural_network      ,0.8271186440677966 ,0.3410852713178295   ,0.43278688524590164 ,0.2814498933901919   ,grades_below_5               ,grades_average                         ,grades_between_0_2_5                   ,grades_between_7_5_10                  ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,"random (n=10, test=33%)" ,chi2 (5)          ,gradient_boosting   ,0.8245762711864407 ,0.43037974683544306  ,0.4463470319634703  ,0.4155154091392136   ,grades_below_5               ,grades_average                         ,grades_between_0_2_5                   ,grades_between_7_5_10                  ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,"random (n=10, test=33%)" ,chi2 (5)          ,svm                 ,0.8189830508474576 ,0.09797297297297299  ,0.2857142857142857  ,0.059123343527013254 ,grades_below_5               ,grades_average                         ,grades_between_0_2_5                   ,grades_between_7_5_10                  ,grades_below_mean                        ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,holdout (33/67)           ,chi2 (5)          ,random_forest       ,0.9189655172413793 ,0.7929515418502203   ,0.656934306569343   ,1.0                  ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,important_grades_below_mean            ,important_activities_complete_majority   ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,holdout (33/67)           ,chi2 (5)          ,knn                 ,0.9310344827586207 ,0.7999999999999999   ,0.7272727272727273  ,0.8888888888888888   ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,important_grades_below_mean            ,important_activities_complete_majority   ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,holdout (33/67)           ,chi2 (5)          ,tree                ,0.9137931034482759 ,0.782608695652174    ,0.6428571428571429  ,1.0                  ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,important_grades_below_mean            ,important_activities_complete_majority   ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,holdout (33/67)           ,chi2 (5)          ,naive_bayes         ,0.6206896551724138 ,0.45000000000000007  ,0.2903225806451613  ,1.0                  ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,important_grades_below_mean            ,important_activities_complete_majority   ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,holdout (33/67)           ,chi2 (5)          ,logistic_regression ,0.8448275862068966 ,0.64                 ,0.5                 ,0.8888888888888888   ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,important_grades_below_mean            ,important_activities_complete_majority   ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,holdout (33/67)           ,chi2 (5)          ,neural_network      ,0.8327586206896552 ,0.6498194945848376   ,0.48128342245989303 ,1.0                  ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,important_grades_below_mean            ,important_activities_complete_majority   ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,holdout (33/67)           ,chi2 (5)          ,gradient_boosting   ,0.9120689655172414 ,0.7792207792207793   ,0.6382978723404256  ,1.0                  ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,important_grades_below_mean            ,important_activities_complete_majority   ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,holdout (33/67)           ,chi2 (5)          ,svm                 ,0.9137931034482759 ,0.782608695652174    ,0.6428571428571429  ,1.0                  ,grades_between_7_5_10        ,grades_below_5                         ,grades_average                         ,important_grades_below_mean            ,important_activities_complete_majority   ,                                         ,                                         ,                                         ,                                         ,
turma   ,            1.0  ,xvalidation (k=10)        ,chi2 (10)         ,random_forest       ,0.821590909090909  ,0.35655737704918034  ,0.4182692307692308  ,0.3107142857142857   ,grades_below_5               ,grades_average                         ,grades_between_0_2_5                   ,grades_between_7_5_10                  ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,xvalidation (k=10)        ,chi2 (10)         ,knn                 ,0.8238636363636364 ,0.4150943396226415   ,0.44                ,0.39285714285714285  ,grades_below_5               ,grades_average                         ,grades_between_0_2_5                   ,grades_between_7_5_10                  ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,xvalidation (k=10)        ,chi2 (10)         ,tree                ,0.8181818181818182 ,0.30434782608695654  ,0.3888888888888889  ,0.25                 ,grades_below_5               ,grades_average                         ,grades_between_0_2_5                   ,grades_between_7_5_10                  ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
turma   ,            1.0  ,xvalidation (k=10)        ,chi2 (10)         ,naive_bayes         ,0.7784090909090909 ,0.5411764705882353   ,0.40350877192982454 ,0.8214285714285714   ,grades_below_5               ,grades_average                         ,grades_between_0_2_5                   ,grades_between_7_5_10                  ,grades_below_mean                        ,important_grades_below_mean              ,important_activities_complete_majority   ,important_activities_complete_minority   ,important_activities_incomplete          ,important_activities_incomplete_majority
